exercicio,instituicao,cod_ibge,uf,anexo,rotulo,coluna,cod_conta,conta,valor,populacao,ano
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,260757149.12,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,108096839.12,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.1.0.0.00.00,1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa,14024533.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.1.1.0.00.00,1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional,14024533.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.1.1.1.00.00,1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação,14024533.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.3.0.0.00.00,1.1.3.0.0.00.00 - Demais Créditos e Valores a Curto Prazo,1308362.57,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.3.5.0.00.00,1.1.3.5.0.00.00 - Depósitos Restituíveis e Valores Vinculados,1306126.85,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.3.5.1.00.00,1.1.3.5.1.00.00 - Depósitos Restituíveis e Valores Vinculados - Consolidação,1306126.85,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.3.8.0.00.00,1.1.3.8.0.00.00 - Outros Créditos a Receber e Valores a Curto Prazo,2235.72,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.3.8.1.00.00,1.1.3.8.1.00.00 - Outros Créditos a Receber e Valores a Curto Prazo - Consolidação,2235.72,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.4.0.0.00.00,1.1.4.0.0.00.00 - Investimentos e Aplicações Temporárias a Curto Prazo,91829852.68,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.4.1.0.00.00,1.1.4.1.0.00.00 - Títulos e Valores Mobiliários,93612174.02,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.4.1.1.00.00,1.1.4.1.1.00.00 - Títulos e Valores Mobiliários - Consolidação,93612174.02,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.4.9.0.00.00,1.1.4.9.0.00.00 - (-) Ajuste de Perdas de Investimentos e Aplicações Temporárias,1782321.34,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.4.9.1.00.00,1.1.4.9.1.00.00 - (-) Ajuste de Perdas de Investimentos Temporários e Aplicações Temporárias - Consolidação,1782321.34,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.5.0.0.00.00,1.1.5.0.0.00.00 - Estoques,934090.36,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.5.6.0.00.00,1.1.5.6.0.00.00 - Almoxarifado,934090.36,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.1.5.6.1.00.00,1.1.5.6.1.00.00 - Almoxarifado - Consolidação,934090.36,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,152660310.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.0.0.00.00,1.2.1.0.0.00.00 - Ativo Realizável a Longo Prazo,42445872.41,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.0.00.00,1.2.1.1.0.00.00 - Créditos a Longo Prazo,42445872.41,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.1.00.00,1.2.1.1.1.00.00 - Créditos a Longo Prazo - Consolidação,41502341.75,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.1.04.00,1.2.1.1.1.04.00 - Dívida Ativa Tributaria,42840674.69,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.1.05.00,1.2.1.1.1.05.00 - Dívida Ativa não Tributaria,5502153.83,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.1.99.00,1.2.1.1.1.99.00 - (-) Ajuste de Perdas de Créditos a Longo Prazo,6840486.77,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.2.00.00,1.2.1.1.2.00.00 - Créditos a Longo Prazo - Intra OFSS,943530.66,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.1.1.2.01.00,1.2.1.1.2.01.00 - Créditos Tributários a Receber,943530.66,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.0.0.00.00,1.2.2.0.0.00.00 - Investimentos,1674720.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.1.0.00.00,1.2.2.1.0.00.00 - Participações Permanentes,30000.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.1.1.00.00,1.2.2.1.1.00.00 - Participações Permanentes - Consolidação,30000.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.1.1.01.00,1.2.2.1.1.01.00 - Participações Avaliadas pelo Método de Equivalência Patrimonial,30000.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.2.0.00.00,1.2.2.2.0.00.00 - Propriedades para Investimento,1644720.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.2.2.1.00.00,1.2.2.2.1.00.00 - Propriedades para Investimento - Consolidação,1644720.0,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.0.0.00.00,1.2.3.0.0.00.00 - Imobilizado,108539717.59,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.1.0.00.00,1.2.3.1.0.00.00 - Bens Moveis,11429392.45,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.1.1.00.00,1.2.3.1.1.00.00 - Bens Móveis - Consolidação,11429392.45,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.2.0.00.00,1.2.3.2.0.00.00 - Bens Imóveis,99118011.59,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.2.1.00.00,1.2.3.2.1.00.00 - Bens Imóveis - Consolidação,99118011.59,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.8.0.00.00,"1.2.3.8.0.00.00 - (-) Depreciação, Exaustão e Amortização Acumuladas",2007686.45,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.8.1.00.00,"1.2.3.8.1.00.00 - (-) Depreciação, Exaustão e Amortização Acumuladas - Consolidação",2007686.45,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P1.2.3.8.1.01.00,1.2.3.8.1.01.00 - (-) Depreciação Acumulada - Bens Móveis,2007686.45,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,260757149.12,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,6899189.56,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.1.0.0.00.00,"2.1.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Curto Prazo",2832902.9,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.1.1.0.00.00,2.1.1.1.0.00.00 - Pessoal a Pagar,2810960.95,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.1.1.1.00.00,2.1.1.1.1.00.00 - Pessoal a Pagar - Consolidação,2810960.95,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.1.2.0.00.00,2.1.1.2.0.00.00 - Benefícios Previdenciários a Pagar,21941.95,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.1.2.1.00.00,2.1.1.2.1.00.00 - Benefícios Previdenciários a Pagar - Consolidação,21941.95,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.3.0.0.00.00,2.1.3.0.0.00.00 - Fornecedores e Contas a Pagar a Curto Prazo,3225025.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.3.1.0.00.00,2.1.3.1.0.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo,3225025.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.3.1.1.00.00,2.1.3.1.1.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo - Consolidação,3225025.51,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.8.0.0.00.00,2.1.8.0.0.00.00 - Demais Obrigações a Curto Prazo,841261.15,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.8.8.0.00.00,2.1.8.8.0.00.00 - Valores Restituíveis,742701.28,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.8.8.1.00.00,2.1.8.8.1.00.00 - Valores Restituíveis - Consolidação,742701.28,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.8.9.0.00.00,2.1.8.9.0.00.00 - Outras Obrigações a Curto Prazo,98559.87,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.1.8.9.1.00.00,2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação,98559.87,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,137727989.32,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.1.0.0.00.00,"2.2.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Longo Prazo",2371556.33,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.1.1.0.00.00,2.2.1.1.0.00.00 - Pessoal a Pagar,1550024.3,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.1.1.1.00.00,2.2.1.1.1.00.00 - Pessoal a Pagar - Consolidação,1550024.3,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.1.4.0.00.00,2.2.1.4.0.00.00 - Encargos Sociais a Pagar,821532.03,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.1.4.1.00.00,2.2.1.4.1.00.00 - Encargos Sociais a Pagar - Consolidação,821532.03,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.2.0.0.00.00,2.2.2.0.0.00.00 - Empréstimos e Financiamentos a Longo Prazo,519441.96,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.2.1.0.00.00,2.2.2.1.0.00.00 - Empréstimos a Longo Prazo - Interno,519441.96,40532,2018
2018,Prefeitura Municipal de São Manuel - SP,3550100,SP,DCA-Anexo I-AB,Padrão,31/12/2018,P2.2.2.1.1.00.00,2.2.2.1.1.00.00 - Empréstimos a Longo Prazo - Interno - Consolidação,519441.96,40532,2018
