cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
3102050,Alto Caparaó,0  ,SE,MG,M,2026,6014,01616270000194
3102100,Alto Rio Doce,0  ,SE,MG,M,2026,10931,18094748000166
3102209,Alvarenga,0  ,SE,MG,M,2026,3983,19770288000101
3102308,Alvinópolis,0  ,SE,MG,M,2026,15358,16725392000196
3102407,Alvorada de Minas,0  ,SE,MG,M,2026,4359,18303164000153
3102506,Amparo do Serra,0  ,SE,MG,M,2026,4574,18316174000123
3102605,Andradas,0  ,SE,MG,M,2026,42501,17884412000134
3102704,Cachoeira de Pajeú,0  ,SE,MG,M,2026,9347,18414599000175
3102803,Andrelândia,0  ,SE,MG,M,2026,12163,18682930000138
3102852,Angelândia,0  ,SE,MG,M,2026,7849,01113937000136
3102902,Antônio Carlos,0  ,SE,MG,M,2026,11350,18094763000104
3103009,Antônio Dias,0  ,SE,MG,M,2026,9375,16796575000100
3103108,Antônio Prado de Minas,0  ,SE,MG,M,2026,1552,17947631000115
3103207,Araçaí,0  ,SE,MG,M,2026,2222,18116111000123
3103306,Aracitaba,0  ,SE,MG,M,2026,2095,17747940000141
3103405,Araçuaí,0  ,SE,MG,M,2026,35185,17963083000117
3103504,Araguari,0  ,SE,MG,M,2026,123432,16829640000149
3103603,Arantina,0  ,SE,MG,M,2026,2998,17952508000192
3103702,Araponga,0  ,SE,MG,M,2026,8218,18132167000171
3103751,Araporã,0  ,SE,MG,M,2026,9069,23098510000149
3103801,Arapuá,0  ,SE,MG,M,2026,2668,19942895000101
3103900,Araújos,0  ,SE,MG,M,2026,9634,18300996000116
3104007,Araxá,0  ,SE,MG,M,2026,118786,18140756000100
3104106,Arceburgo,0  ,SE,MG,M,2026,9335,17899717000110
3104205,Arcos,0  ,SE,MG,M,2026,43653,18306662000150
3104304,Areado,0  ,SE,MG,M,2026,14229,18243246000150
3104403,Argirita,0  ,SE,MG,M,2026,2715,17730011000120
3104452,Aricanduva,0  ,SE,MG,M,2026,4820,01608511000153
3104502,Arinos,0  ,SE,MG,M,2026,17586,18125120000180
3104601,Astolfo Dutra,0  ,SE,MG,M,2026,14633,17702507000190
3104700,Ataléia,0  ,SE,MG,M,2026,13936,16971376000183
3104809,Augusto de Lima,0  ,SE,MG,M,2026,4572,17694845000127
3104908,Baependi,0  ,SE,MG,M,2026,18782,18008862000126
3105004,Baldim,0  ,SE,MG,M,2026,7595,18116129000125
3105103,Bambuí,0  ,SE,MG,M,2026,24203,20920567000193
3105202,Bandeira,0  ,SE,MG,M,2026,4811,18349902000101
3105301,Bandeira do Sul,0  ,SE,MG,M,2026,6183,18175794000190
3105400,Barão de Cocais,0  ,SE,MG,M,2026,32264,18317685000160
3105509,Barão de Monte Alto,0  ,SE,MG,M,2026,4952,17947649000117
3105608,Barbacena,0  ,SE,MG,M,2026,129695,17095043000109
3105707,Barra Longa,0  ,SE,MG,M,2026,5717,18316182000170
3105905,Barroso,0  ,SE,MG,M,2026,20604,18094755000168
3106002,Bela Vista de Minas,0  ,SE,MG,M,2026,10427,18311043000153
3106101,Belmiro Braga,0  ,SE,MG,M,2026,3292,18338129000170
3106200,Belo Horizonte,1  ,SE,MG,M,2026,2415872,18715383000140
3106309,Belo Oriente,0  ,SE,MG,M,2026,24546,17005653000166
3106408,Belo Vale,0  ,SE,MG,M,2026,9012,18363937000197
3106507,Berilo,0  ,SE,MG,M,2026,9638,17700758000135
3106606,Bertópolis,0  ,SE,MG,M,2026,4546,18404897000184
3106655,Berizal,0  ,SE,MG,M,2026,4270,01614602000100
3106705,Betim,0  ,SE,MG,M,2026,431433,18715391000196
3106804,Bias Fortes,0  ,SE,MG,M,2026,3367,18094771000150
3106903,Bicas,0  ,SE,MG,M,2026,14358,17722935000184
3107000,Biquinhas,0  ,SE,MG,M,2026,2397,18296640000156
3107109,Boa Esperança,0  ,SE,MG,M,2026,41443,18239590000175
3107208,Bocaina de Minas,0  ,SE,MG,M,2026,5530,18194076000160
3107307,Bocaiúva,0  ,SE,MG,M,2026,49797,18803072000132
3107406,Bom Despacho,0  ,SE,MG,M,2026,54377,18301002000186
3107505,Bom Jardim de Minas,0  ,SE,MG,M,2026,6988,18684217000123
3107604,Bom Jesus da Penha,0  ,SE,MG,M,2026,4677,18187815000197
3107703,Bom Jesus do Amparo,0  ,SE,MG,M,2026,5786,18317693000106
3107802,Bom Jesus do Galho,0  ,SE,MG,M,2026,14719,18334276000171
3107901,Bom Repouso,0  ,SE,MG,M,2026,13312,18675892000196
3108008,Bom Sucesso,0  ,SE,MG,M,2026,17515,18244368000160
3108107,Bonfim,0  ,SE,MG,M,2026,7710,18363945000133
3108206,Bonfinópolis de Minas,0  ,SE,MG,M,2026,5600,18125138000182
3108255,Bonito de Minas,0  ,SE,MG,M,2026,10525,01612493000183
3108305,Borda da Mata,0  ,SE,MG,M,2026,17837,17912023000175
3108404,Botelhos,0  ,SE,MG,M,2026,15141,17847641000189
3108503,Botumirim,0  ,SE,MG,M,2026,5806,18017418000177
3108552,Brasilândia de Minas,0  ,SE,MG,M,2026,15485,01602009000135
3108602,Brasília de Minas,0  ,SE,MG,M,2026,33262,18017442000106
3108701,Brás Pires,0  ,SE,MG,M,2026,4296,18128272000137
3108800,Braúnas,0  ,SE,MG,M,2026,4445,18307389000188
3108909,Brazópolis,0  ,SE,MG,M,2026,14491,18025890000151
3109006,Brumadinho,0  ,SE,MG,M,2026,41090,18363929000140
3109105,Bueno Brandão,0  ,SE,MG,M,2026,11168,18940098000122
3109204,Buenópolis,0  ,SE,MG,M,2026,9171,17694852000129
3109253,Bugre,0  ,SE,MG,M,2026,4159,01613126000102
3109303,Buritis,0  ,SE,MG,M,2026,24779,18125146000129
3109402,Buritizeiro,0  ,SE,MG,M,2026,23908,18279067000172
3109451,Cabeceira Grande,0  ,SE,MG,M,2026,6811,01603707000155
3109501,Cabo Verde,0  ,SE,MG,M,2026,11269,17909599000183
3109600,Cachoeira da Prata,0  ,SE,MG,M,2026,3785,25004532000128
3109709,Cachoeira de Minas,0  ,SE,MG,M,2026,12302,18675959000192
3109808,Cachoeira Dourada,0  ,SE,MG,M,2026,2337,18457267000178
3109907,Caetanópolis,0  ,SE,MG,M,2026,11906,23221351000128
3110004,Caeté,0  ,SE,MG,M,2026,39775,18302299000102
3110103,Caiana,0  ,SE,MG,M,2026,5484,18114256000195
3110202,Cajuri,0  ,SE,MG,M,2026,4191,18132456000170
3110301,Caldas,0  ,SE,MG,M,2026,14628,18625129000150
3110400,Camacho,0  ,SE,MG,M,2026,2851,18308726000151
3110509,Camanducaia,0  ,SE,MG,M,2026,27860,17935396000161
3110608,Cambuí,0  ,SE,MG,M,2026,31066,18675975000185
3110707,Cambuquira,0  ,SE,MG,M,2026,12551,17955386000198
3110806,Campanário,0  ,SE,MG,M,2026,2884,18404905000192
3110905,Campanha,0  ,SE,MG,M,2026,16372,18712174000142
3111002,Campestre,0  ,SE,MG,M,2026,21155,18178400000157
3111101,Campina Verde,0  ,SE,MG,M,2026,18188,18457291000107
3111150,Campo Azul,0  ,SE,MG,M,2026,3806,01612551000179
3111200,Campo Belo,0  ,SE,MG,M,2026,54027,18659334000137
3111309,Campo do Meio,0  ,SE,MG,M,2026,11625,18239582000129
3111408,Campo Florido,0  ,SE,MG,M,2026,8931,18428862000185
3111507,Campos Altos,0  ,SE,MG,M,2026,13076,18298190000130
3111606,Campos Gerais,0  ,SE,MG,M,2026,26749,18245175000124
3111705,Canaã,0  ,SE,MG,M,2026,4839,18132712000120
3111804,Canápolis,0  ,SE,MG,M,2026,10716,18457200000133
3111903,Cana Verde,0  ,SE,MG,M,2026,5342,18244426000156
3112000,Candeias,0  ,SE,MG,M,2026,14211,17888090000100
3112059,Cantagalo,0  ,SE,MG,M,2026,4029,01617441000108
3112109,Caparaó,0  ,SE,MG,M,2026,5138,18114249000193
4201901,Aurora,0  ,SU,SC,M,2026,7241,83102624000147
4201950,Balneário Arroio do Silva,0  ,SU,SC,M,2026,17786,01605479000152
4202008,Balneário Camboriú,0  ,SU,SC,M,2026,151674,83102285000107
4202057,Balneário Barra do Sul,0  ,SU,SC,M,2026,16953,95954509000180
4202073,Balneário Gaivota,0  ,SU,SC,M,2026,17986,01511659000175
4202081,Bandeirante,0  ,SU,SC,M,2026,3265,01612528000184
4202099,Barra Bonita,0  ,SU,SC,M,2026,1642,01612527000130
4202107,Barra Velha,0  ,SU,SC,M,2026,52860,83102830000157
4202131,Bela Vista do Toldo,0  ,SU,SC,M,2026,5939,01612888000186
4202156,Belmonte,0  ,SU,SC,M,2026,2712,80912108000190
4202206,Benedito Novo,0  ,SU,SC,M,2026,10757,83102780000108
4202305,Biguaçu,0  ,SU,SC,M,2026,83756,82892308000153
4210852,Mirim Doce,0  ,SU,SC,M,2026,2554,95952248000169
4210902,Modelo,0  ,SU,SC,M,2026,4159,83021832000111
4211009,Mondaí,0  ,SU,SC,M,2026,10206,83028415000109
4211058,Monte Carlo,0  ,SU,SC,M,2026,9218,95996104000104
4211108,Monte Castelo,0  ,SU,SC,M,2026,7747,83102525000165
4211207,Morro da Fumaça,0  ,SU,SC,M,2026,19490,83000323000102
4211256,Morro Grande,0  ,SU,SC,M,2026,3097,95782785000108
4211306,Navegantes,0  ,SU,SC,M,2026,96046,83102855000150
4211405,Nova Erechim,0  ,SU,SC,M,2026,5490,83021840000168
4211454,Nova Itaberaba,0  ,SU,SC,M,2026,4672,95990131000170
4211504,Nova Trento,0  ,SU,SC,M,2026,14395,82925025000160
4211603,Nova Veneza,0  ,SU,SC,M,2026,14004,82916826000160
4211652,Novo Horizonte,0  ,SU,SC,M,2026,2661,95990115000187
4211702,Orleans,0  ,SU,SC,M,2026,24686,82926544000143
4211751,Otacílio Costa,0  ,SU,SC,M,2026,17873,75326066000175
4211801,Ouro,0  ,SU,SC,M,2026,7062,82777228000157
4211850,Ouro Verde,0  ,SU,SC,M,2026,2195,80913031000172
4211876,Paial,0  ,SU,SC,M,2026,2007,01614376000159
4211892,Painel,0  ,SU,SC,M,2026,2216,01608820000123
4211900,Palhoça,0  ,SU,SC,M,2026,253469,82892316000108
4212007,Palma Sola,0  ,SU,SC,M,2026,7696,83028639000102
4212056,Palmeira,0  ,SU,SC,M,2026,2658,01610566000106
4212106,Palmitos,0  ,SU,SC,M,2026,15781,85361863000147
4212205,Papanduva,0  ,SU,SC,M,2026,19769,83102533000101
4212239,Paraíso,0  ,SU,SC,M,2026,4394,80912009000108
4212254,Passo de Torres,0  ,SU,SC,M,2026,14859,95782793000154
4212270,Passos Maia,0  ,SU,SC,M,2026,3997,95993085000162
4212304,Paulo Lopes,0  ,SU,SC,M,2026,9879,82892365000132
4212403,Pedras Grandes,0  ,SU,SC,M,2026,4355,82928680000172
4212502,Penha,0  ,SU,SC,M,2026,36995,83102327000100
4212601,Peritiba,0  ,SU,SC,M,2026,3040,82815085000120
4212700,Petrolândia,0  ,SU,SC,M,2026,6996,83102673000180
4212809,Balneário Piçarras,0  ,SU,SC,M,2026,30593,83102335000148
4212908,Pinhalzinho,0  ,SU,SC,M,2026,23897,83021857000115
4213005,Pinheiro Preto,0  ,SU,SC,M,2026,3631,82827148000169
4213104,Piratuba,0  ,SU,SC,M,2026,6144,82815481000158
4213153,Planalto Alegre,0  ,SU,SC,M,2026,3081,95990255000155
4213203,Pomerode,0  ,SU,SC,M,2026,37003,83102251000104
4213302,Ponte Alta,0  ,SU,SC,M,2026,4390,83755850000127
4213351,Ponte Alta do Norte,0  ,SU,SC,M,2026,3241,95991287000175
4213401,Ponte Serrada,0  ,SU,SC,M,2026,10732,82777236000101
4213500,Porto Belo,0  ,SU,SC,M,2026,31557,82575812000120
4213609,Porto União,0  ,SU,SC,M,2026,33694,83102541000158
4213708,Pouso Redondo,0  ,SU,SC,M,2026,18051,83102681000126
4213807,Praia Grande,0  ,SU,SC,M,2026,8696,82913211000180
4213906,Presidente Castello Branco,0  ,SU,SC,M,2026,1707,82777244000140
4214003,Presidente Getúlio,0  ,SU,SC,M,2026,21764,83102434000120
4214102,Presidente Nereu,0  ,SU,SC,M,2026,2347,83102699000128
4214151,Princesa,0  ,SU,SC,M,2026,3073,01612836000100
4214201,Quilombo,0  ,SU,SC,M,2026,11433,83021865000161
4214300,Rancho Queimado,0  ,SU,SC,M,2026,3484,82892357000196
4214409,Rio das Antas,0  ,SU,SC,M,2026,6399,83074294000123
4214508,Rio do Campo,0  ,SU,SC,M,2026,6638,83102707000136
4214607,Rio do Oeste,0  ,SU,SC,M,2026,8071,83102715000182
4214706,Rio dos Cedros,0  ,SU,SC,M,2026,11218,83102806000118
4214805,Rio do Sul,0  ,SU,SC,M,2026,77451,83102574000106
4214904,Rio Fortuna,0  ,SU,SC,M,2026,5044,82926585000130
4215000,Rio Negrinho,0  ,SU,SC,M,2026,40132,83102756000179
4215059,Rio Rufino,0  ,SU,SC,M,2026,2429,95991071000100
4215075,Riqueza,0  ,SU,SC,M,2026,4828,95988309000148
4215109,Rodeio,0  ,SU,SC,M,2026,13491,83102814000164
4215208,Romelândia,0  ,SU,SC,M,2026,4684,82821182000126
4215307,Salete,0  ,SU,SC,M,2026,7656,83102723000129
4215356,Saltinho,0  ,SU,SC,M,2026,3604,01612844000156
4215406,Salto Veloso,0  ,SU,SC,M,2026,4495,82827353000124
4215455,Sangão,0  ,SU,SC,M,2026,13797,95780458000117
4215505,Santa Cecília,0  ,SU,SC,M,2026,15749,85997237000141
4215554,Santa Helena,0  ,SU,SC,M,2026,2476,80912140000175
4215604,Santa Rosa de Lima,0  ,SU,SC,M,2026,2131,82926593000186
4215653,Santa Rosa do Sul,0  ,SU,SC,M,2026,10450,80989965000198
4215679,Santa Terezinha,0  ,SU,SC,M,2026,8015,95951323000177
4215687,Santa Terezinha do Progresso,0  ,SU,SC,M,2026,2534,01612847000190
4215695,Santiago do Sul,0  ,SU,SC,M,2026,1732,01612781000138
4215703,Santo Amaro da Imperatriz,0  ,SU,SC,M,2026,30099,82892324000146
4215752,São Bernardino,0  ,SU,SC,M,2026,2715,01612812000150
4215802,São Bento do Sul,0  ,SU,SC,M,2026,87661,86051398000100
4215901,São Bonifácio,0  ,SU,SC,M,2026,2982,82892340000139
4216008,São Carlos,0  ,SU,SC,M,2026,10462,82945718000115
4216057,São Cristovão do Sul,0  ,SU,SC,M,2026,6489,95991261000127
4216107,São Domingos,0  ,SU,SC,M,2026,9343,83009894000108
4216206,São Francisco do Sul,0  ,SU,SC,M,2026,56726,83102269000106
4308102,Feliz,0  ,SU,RS,M,2026,13994,87838330000139
4308201,Flores da Cunha,0  ,SU,RS,M,2026,32015,87843819000107
4308250,Floriano Peixoto,0  ,SU,RS,M,2026,1690,01612289000162
4308300,Fontoura Xavier,0  ,SU,RS,M,2026,9710,87612768000102
4308409,Formigueiro,0  ,SU,RS,M,2026,6527,97228126000150
4308433,Forquetinha,0  ,SU,RS,M,2026,2441,04214401000103
4308458,Fortaleza dos Valos,0  ,SU,RS,M,2026,4569,89708051000186
4308508,Frederico Westphalen,0  ,SU,RS,M,2026,33726,87612917000125
4308607,Garibaldi,0  ,SU,RS,M,2026,35563,88594999000195
4308656,Garruchos,0  ,SU,RS,M,2026,2724,92891035000186
4308706,Gaurama,0  ,SU,RS,M,2026,5779,87613428000198
4308805,General Câmara,0  ,SU,RS,M,2026,7743,88117726000150
4308854,Gentil,0  ,SU,RS,M,2026,1784,92411875000102
4308904,Getúlio Vargas,0  ,SU,RS,M,2026,16955,87613410000196
4309001,Giruá,0  ,SU,RS,M,2026,16273,87613048000153
4309050,Glorinha,0  ,SU,RS,M,2026,7851,91338558000137
4309100,Gramado,0  ,SU,RS,M,2026,41705,88847082000155
4309126,Gramado dos Loureiros,0  ,SU,RS,M,2026,2047,94703964000140
4309159,Gramado Xavier,0  ,SU,RS,M,2026,3350,94577509000145
4309209,Gravataí,0  ,SU,RS,M,2026,275430,87890992000158
4309258,Guabiju,0  ,SU,RS,M,2026,1441,91566844000150
4309308,Guaíba,0  ,SU,RS,M,2026,95946,88811922000120
4309407,Guaporé,0  ,SU,RS,M,2026,26168,87862397000109
