exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,bimestre,tipo
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),111360500.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),118653300.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),19436897.91,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),16.38,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),19436897.91,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),16.38,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),99216402.09,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasCorrentes,RECEITAS CORRENTES,107288500.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasCorrentes,RECEITAS CORRENTES,114581300.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasCorrentes,RECEITAS CORRENTES,19436897.91,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitasCorrentes,RECEITAS CORRENTES,16.96,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitasCorrentes,RECEITAS CORRENTES,19436897.91,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (c/a),ReceitasCorrentes,RECEITAS CORRENTES,16.96,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitasCorrentes,RECEITAS CORRENTES,95144402.09,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitaTributaria,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",12725000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitaTributaria,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",15152000.0,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitaTributaria,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",1812872.36,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,% (b/a),ReceitaTributaria,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",11.96,2018,1,Receita
2018,RREO,1,B,Prefeitura Municipal de São Manuel - SP,3550100,SP,40532,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitaTributaria,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",1812872.36,2018,1,Receita
