exercicio,periodo,periodicidade,instituicao,cod_ibge,uf,co_poder,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano,anexo_rgf
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-11>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4618806.24,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-10>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4764035.65,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-9>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4517441.12,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-8>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4561857.42,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-7>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4547048.25,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-6>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4834420.7,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-5>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),5359190.72,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-4>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),6536525.79,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-3>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4601813.83,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-2>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4657561.37,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-1>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4669717.71,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),4758765.16,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,TOTAL (ÚLTIMOS 12 MESES) (a),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),58427183.96,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-11>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3764845.53,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-10>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3905488.51,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-9>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3639057.22,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-8>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3679993.02,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-7>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3646304.1,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-6>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3942506.31,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-5>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3633801.99,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-4>,DespesaComPessoalAtivoBruta,Pessoal Ativo,5614819.79,2018,RGF-Anexo 01
2018,1,Q,Prefeitura Municipal de São Manuel - SP,3550100,SP,E,40532,RGF-Anexo 01,M,Padrão,<MR-3>,DespesaComPessoalAtivoBruta,Pessoal Ativo,3646694.57,2018,RGF-Anexo 01
